,,,,,,,,,,,,,,
Signals,Instituional Setting,University Affiliation,City,State,Program Type & Seats,LOR,% Interviewed,Med. Step 2,Doxy Rank,Instagram,Notes,,,
Stanford Health Care,University Based,Stanford (MD),Redwood City,CA,Advanced - 7,3,14.3%,252,14,Stanford,,,Quick and Dirty Dig,
Schwab Rehab (UChicago),Community Based,U Chicago (MD),Chicago,IL,Advanced - 5,3 - 4,20.6%,245,21,Schwab,"Unregistered in ERAS rn, hold thy breath. ",,,
Ohio State University,University Based,OSU (MD),Columbus,OH,"Categorical - 3, Advanced - 4",3 - 4,10.40%,250,22,OSU,Looks good but look at homestate invited rate (9%),,Mount Sinai,
UCLA,Community + University,UCLA (MD),Los Angeles,CA,Advanced - 9,3 - 4,16.5%,250,27,UCLA,,,,
UC Davis,University Based,UC Davis (MD),Sacremento,CA,"Categorical - 2, Advanced - 2",3 - 4,12.4%,250,33,UC Davis,,,Jefferson,
John Hopkins,University,John Hopkins (MD),Baltimore,MD,Advanced - 8,2 - 4,14.60%,250,35,J. Hopkins,"POSSIBLE bump up, but heavy DO favoritism",,Mayo clinic Rochester,
Temple University,University Based,Temple (MD),Philadelphia,PA,Advanced - 8,3 - 4,22.3%,246,44,Temple,Possible reconsider,,,
Zucker Northwell/Hofstra,Community + University,Zucker (MD),Manhasset,NY,Advanced - 4,3 +,17.3%,256,45,Northwell,"Ideal, literally only hang up is the high step",,,
UC Irvine,University Based,UC Irvine (MD),Orange,CA,Advanced - 5,3,19.5%,246,47,UCI,,,SUNY Upstate Syracuse,
Northwesterm Marianjoy,Community Based,Northwestern (MD),Wheaton,IL,Advanced - 6,3 - 4,20.10%,244,50,NW Marianjoy,"Strong contender for a signal, still on the fence",,,
Loma Linda University,University Based,Loma Linda (MD),Loma Linda,CA,Categorical - 5,3 - 4,13.7%,250,53,Loma Linda,,,JEFFERSON ,AND SIDNEY KIMMEL
Rush University,University Based,Rush (MD),Chicago,IL,Categorical - 6,3 - 4,-%,-,58,Rush,,,,
University Of Wisconsin,University Based,U Wisconsin,Madison,WI,Advanced - 4,4,12%,251,61,Wisconsin,out of state invited 10% btw,,,
Yale-New Haven,University Based,Yale (MD),New Haven,CT,Categorical - 4,3 +,13.2%,255,76,Yale,Maybe a reach? Maybe a lock? ,,,
University Of Rochester,University Based,U Rochester (MD),Rochester,NY,Categorical - 6,3 - 4,17.3%,252,84,URochester,,,,
UConn,Community + University,U Conn (MD),Hartford,CT,Categorical - 4,3,17.50%,250,91,UConn,,,,
OPTI West,Community Based,Western U (DO),Pomona,CA,Advanced - 3,3,15.7%,252,97,OPTI,DO Westen affiliation,,,
Westchester Medical Center,Community + University,NY Med Col (MD),Westchester,NY,Categorical - 4,2 - 4,26.3%%,243,98,Westchester,New program? ,,,
Charles Drew University,Community + University,Charles Drew (MD),Los Angeles,CA,? - 3,3,32.80%,234,-,CDU,"Very new, good safety pic + location is prime",,,
USC??,?,USC (MD),Los Angeles,CA,?,?,?,?,?,?,Possibly opening up next year?,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Programs,Instituional Setting,Column 12,City,State,Program Type & Seats,LOR,% Interviewed,Med. Step 2,Doxy Rank,Instagram,Notes,,,
U of Washington,University Based,UWash (MD),Seattle,WA,"Categorical - 3, Advanced - 5",3 +,14.4%,250,2,UW,Turned off by the high ranking,,,
Rutgers,Community + University,Rutgers (MD),Newark,NJ,Advanced - 9,3 - 4,12.1%,247,5,Rutgers,Turned off by high ranking,,,
NY Presby (Columbia + Cornell),University Based,Clmbia + Crnll (MD),New York,NY,Advanced - 8,3,18.4%,251,8,NY Presby,hmmmm,,,
Mount Sinai,University Based,Icahn SOM (MD),New York,NY,Categorical - 10,3 - 4,15.90%,248,10,Mount Sinai,"Possible reconsider, apparently dissapointment",,,
NYU,University Based,NYU (MD),New York,NY,Advanced - 12,3,35.2%,253,12,NYU,I'm not going to NYU bro ,,,
Sidney Kimmel (Thom Jeff Uni),University Based,S. Kimmel (MD),Philadelphia,PA,Advanced - 7,3 - 4,13.10%,247,25,T.Jefferson,"on thin ice ngl, can be for or against",,,
Jefferson Einstein MossRehab,Community + University,S. Kimmel (MD),Philadelphia,PA,Advanced - 8,3 - 4,"15,6%",248,26,MossRehab,"Consider bumping up fr, another thomas jefferson",,,
University Of Cincinnati,University Based,U Cincinnati,Cincinnati,OH,Categorical - 3,1 - 4,7.90%,248,34,U Cincinnati,VERY low interview for VERY low number of spots,,,
Burke Rehab Hospital,Community + University,A. Einstein (MD),White Plains,NY,Advanced - 8,2 - 4,-,-,40,Burke,"Apparently rep is bad, be weary of standalone rehab hospitals",,,
Albany,University Based,Albany (MD),Albany,NY,Categorical - 2,?,7.50%,?,42,Albany,Would have been a lock but interview rate is LOW,,,
UNC,University Based,UNC (MD),Chapel Hill,NC,Categorical - 4,2 - 3,11.9%,248,73,UNC,,,,
SUNY Downstate,University Based,Suny DS (MD),Brooklyn,NY,Advanced - 6,3,23.9%,244,75,SUNY DS,,,,
UT Austin Dell,University Based,UT Austin (MD),Austin,TX,Advanced - 2,-,12.5%,251,87,UT,Apparently vibes kinda trash,,,
Rochester Regional Health,Community + University,Lake Erie (DO),Rochester,NY,Advanced - 3,3 - 4,15.4%,246,103,Rochester,on thin ice,,,
UPenn,-,-,-,-,-,-,-,-,-,-,"Vibes look atrocious, do not apply",,,
Tufts,-,-,-,-,-,-,-,-,-,-,Vibes fucking atrocious,,,
UPMC,-,-,-,-,-,-,-,-,-,-,Apparently vibes trash,,,
